SGD_name	Genes	gene_biotype	start_position	end_position	strand	length	status	chromosome_name	status_description
S000000001	YAL001C	ORF	147594	151166	-1	3573	Verified	I	Active
S000000002	YAL002W	ORF	143707	147531	1	3825	Verified	I	Active
S000000003	YAL003W	ORF	142174	143160	1	987	Verified	I	Active
S000000004	YAL005C	ORF	139503	141431	-1	1929	Verified	I	Active
S000000005	YAL007C	ORF	137698	138345	-1	648	Verified	I	Active
S000000006	YAL008W	ORF	136914	137510	1	597	Verified	I	Active
S000000007	YAL009W	ORF	135854	136633	1	780	Verified	I	Active
S000000008	YAL010C	ORF	134184	135665	-1	1482	Verified	I	Active
S000000009	YAL011W	ORF	132199	134076	1	1878	Verified	I	Active
S000000010	YAL012W	ORF	130799	131983	1	1185	Verified	I	Active
S000000011	YAL013W	ORF	129270	130487	1	1218	Verified	I	Active
S000000012	YAL014C	ORF	128252	129019	-1	768	Verified	I	Active
S000000013	YAL015C	ORF	126903	128102	-1	1200	Verified	I	Active
S000000014	YAL016W	ORF	124879	126786	1	1908	Verified	I	Active
S000000015	YAL017W	ORF	120225	124295	1	4071	Verified	I	Active
S000000016	YAL018C	ORF	118564	119541	-1	978	Verified	I	Active
S000000017	YAL019W	ORF	114919	118314	1	3396	Verified	I	Active
S000000018	YAL020C	ORF	113614	114615	-1	1002	Verified	I	Active
S000000019	YAL021C	ORF	110846	113359	-1	2514	Verified	I	Active
S000000020	YAL022C	ORF	108877	110430	-1	1554	Verified	I	Active
S000000021	YAL023C	ORF	106272	108551	-1	2280	Verified	I	Active
S000000022	YAL024C	ORF	101565	105872	-1	4308	Verified	I	Active
S000000023	YAL025C	ORF	100225	101145	-1	921	Verified	I	Active
S000000024	YAL026C	ORF	95630	99697	-1	4068	Verified	I	Active
S000000025	YAL027W	ORF	94687	95472	1	786	Verified	I	Active
S000000026	YAL028W	ORF	92900	94486	1	1587	Verified	I	Active
S000000027	YAL029C	ORF	87855	92270	-1	4416	Verified	I	Active
S000000028	YAL030W	ORF	87286	87752	1	467	Verified	I	Active
S000000029	YAL031C	ORF	84749	87031	-1	2283	Verified	I	Active
S000000030	YAL032C	ORF	83335	84474	-1	1140	Verified	I	Active
S000000031	YAL033W	ORF	82706	83227	1	522	Verified	I	Active
S000000032	YAL034W-A	ORF	79718	80587	1	870	Verified	I	Active
S000000033	YAL035W	ORF	76427	79435	1	3009	Verified	I	Active
S000000034	YAL036C	ORF	75043	76152	-1	1110	Verified	I	Active
S000000035	YAL037W	ORF	74020	74823	1	804	Uncharacterized	I	Active
S000000036	YAL038W	ORF	71786	73288	1	1503	Verified	I	Active
S000000037	YAL039C	ORF	68716	69525	-1	810	Verified	I	Active
S000000038	YAL040C	ORF	65778	67520	-1	1743	Verified	I	Active
S000000039	YAL041W	ORF	62840	65404	1	2565	Verified	I	Active
S000000040	YAL042W	ORF	61316	62563	1	1248	Verified	I	Active
S000000041	YAL043C	ORF	58695	61052	-1	2358	Verified	I	Active
S000000042	YAL044C	ORF	57950	58462	-1	513	Verified	I	Active
S000000044	YAL046C	ORF	57029	57385	-1	357	Verified	I	Active
S000000045	YAL047C	ORF	54989	56857	-1	1869	Verified	I	Active
S000000046	YAL048C	ORF	52801	54789	-1	1989	Verified	I	Active
S000000047	YAL049C	ORF	51855	52595	-1	741	Verified	I	Active
S000000048	YAL051W	ORF	48564	51707	1	3144	Verified	I	Active
S000000049	YAL053W	ORF	45899	48250	1	2352	Verified	I	Active
S000000050	YAL054C	ORF	42881	45022	-1	2142	Verified	I	Active
S000000051	YAL055W	ORF	42177	42719	1	543	Verified	I	Active
S000000052	YAL056W	ORF	39259	41901	1	2643	Verified	I	Active
S000000054	YAL058W	ORF	37464	38972	1	1509	Verified	I	Active
S000000055	YAL059W	ORF	36509	37147	1	639	Verified	I	Active
S000000056	YAL060W	ORF	35155	36303	1	1149	Verified	I	Active
S000000057	YAL061W	ORF	33448	34701	1	1254	Uncharacterized	I	Active
S000000058	YAL062W	ORF	31567	32940	1	1374	Verified	I	Active
S000000059	YAL063C	ORF	24000	27968	-1	3969	Verified	I	Active
S000000060	YAL064W	ORF	21566	21850	1	285	Verified	I	Active
S000000062	YAL067C	ORF	7235	9016	-1	1782	Verified	I	Active
S000000063	YAR002W	ORF	152257	153876	1	1620	Verified	I	Active
S000000064	YAR003W	ORF	155005	156285	1	1281	Verified	I	Active
S000000065	YAR007C	ORF	156754	158619	-1	1866	Verified	I	Active
S000000066	YAR008W	ORF	158966	159793	1	828	Verified	I	Active
S000000067	YAR009C	transposable_element_gene	160597	164187	-1	3591		I	Active
S000000068	YAR010C	transposable_element_gene	164544	165866	-1	1323		I	Active
S000000069	YAR014C	ORF	166742	168871	-1	2130	Verified	I	Active
S000000070	YAR015W	ORF	169375	170295	1	921	Verified	I	Active
S000000071	YAR018C	ORF	170396	171703	-1	1308	Verified	I	Active
S000000072	YAR019C	ORF	172211	175135	-1	2925	Verified	I	Active
S000000073	YAR020C	ORF	176856	177023	-1	168	Verified	I	Active
S000000074	YAR023C	ORF	179281	179820	-1	540	Uncharacterized	I	Active
S000000075	YAR027W	ORF	183770	184477	1	708	Verified	I	Active
S000000076	YAR028W	ORF	184892	185596	1	705	Uncharacterized	I	Active
S000000077	YAR029W	ORF	186321	186545	1	225	Uncharacterized	I	Active
S000000078	YAR031W	ORF	186836	187732	1	897	Verified	I	Active
S000000079	YAR033W	ORF	188107	188811	1	705	Verified	I	Active
S000000080	YAR035W	ORF	190193	192256	1	2064	Verified	I	Active
S000000081	YAR042W	ORF	192619	196185	1	3567	Verified	I	Active
S000000084	YAR050W	ORF	203403	208016	1	4614	Verified	I	Active
S000000087	YAR061W	pseudogene	218140	219145	1	1006		I	Active
S000000089	YAR064W	ORF	220198	220497	1	300	Uncharacterized	I	Active
S000000091	YAR068W	ORF	222406	222891	1	486	Uncharacterized	I	Active
S000000094	YAR071W	ORF	225460	226863	1	1404	Verified	I	Active
S000000097	YBL001C	ORF	237153	237467	-1	315	Verified	II	Active
S000000098	YBL002W	ORF	236492	236887	1	396	Verified	II	Active
S000000099	YBL003C	ORF	235394	235792	-1	399	Verified	II	Active
S000000100	YBL004W	ORF	227636	235117	1	7482	Verified	II	Active
S000000101	YBL005W	ORF	217470	220400	1	2931	Verified	II	Active
S000000102	YBL006C	ORF	216587	217129	-1	543	Verified	II	Active
S000000103	YBL007C	ORF	212632	216366	-1	3735	Verified	II	Active
S000000104	YBL008W	ORF	209653	212175	1	2523	Verified	II	Active
S000000105	YBL009W	ORF	207194	209224	1	2031	Verified	II	Active
S000000106	YBL010C	ORF	206107	206949	-1	843	Uncharacterized	II	Active
S000000107	YBL011W	ORF	203538	205817	1	2280	Verified	II	Active
S000000109	YBL013W	ORF	202056	203261	1	1206	Verified	II	Active
S000000110	YBL014C	ORF	199064	201748	-1	2685	Verified	II	Active
S000000111	YBL015W	ORF	194122	195702	1	1581	Verified	II	Active
S000000112	YBL016W	ORF	192451	193512	1	1062	Verified	II	Active
S000000113	YBL017C	ORF	186844	191583	-1	4740	Verified	II	Active
S000000114	YBL018C	ORF	185998	186474	-1	477	Verified	II	Active
S000000115	YBL019W	ORF	184353	185915	1	1563	Verified	II	Active
S000000116	YBL020W	ORF	182401	184125	1	1725	Verified	II	Active
S000000117	YBL021C	ORF	181660	182094	-1	435	Verified	II	Active
S000000118	YBL022C	ORF	177874	181275	-1	3402	Verified	II	Active
S000000119	YBL023C	ORF	174920	177526	-1	2607	Verified	II	Active
